f1	f2
93.848	93.956
93.840	93.952
93.842	93.952
93.842	93.952
93.844	93.952
93.842	93.952
93.824	93.952
93.836	93.952
93.834	93.952
93.832	93.952
93.824	93.946
93.822	93.946
93.822	93.946
93.828	93.946
93.828	93.946
93.830	93.948
93.830	93.948
93.830	93.948
93.830	93.956
93.832	93.950
93.826	93.950
93.824	93.950
93.824	93.950
93.822	93.950
93.814	93.950
93.814	93.950
93.810	93.950
93.818	93.950
93.824	93.950
93.824	93.950
93.836	93.950
93.834	93.950
93.834	93.950
93.834	93.950
93.832	93.950
93.828	93.950
93.820	93.950
93.824	93.950
93.830	93.950
93.828	93.950
93.830	93.950
93.828	93.950
93.832	93.950
93.830	93.950
93.838	93.950
93.840	93.950
93.842	93.950
93.838	93.954
93.838	93.958
93.844	93.958
93.842	93.958
93.840	93.958
93.832	93.958
93.834	93.958
93.838	93.958
93.838	93.958
93.838	93.958
93.840	93.958
93.850	93.968
93.854	93.968
93.864	93.968
93.862	93.968
93.870	93.968
93.862	93.968
93.864	93.968
93.870	93.968
93.868	93.968
93.856	93.966
93.856	93.966
93.860	93.966
93.856	93.966
93.858	93.966
93.860	93.966
93.860	93.982
93.872	93.982
93.868	93.982
93.880	93.982
93.870	93.982
93.874	93.982
93.870	93.982
93.876	93.982
93.874	93.982
93.866	93.982
93.868	93.982
93.864	93.982
93.866	93.982
93.862	93.982
93.860	93.982
